#;Reference;Qty;Value;Footprint;DNP
1;C1, C2, C3, C4, C10, C11, C12;7;1u;Capacitor_SMD:C_0805_2012Metric;
2;C5, C6, C7;3;100n;Capacitor_SMD:C_0805_2012Metric;
3;C8;1;0.01u;Capacitor_SMD:C_0805_2012Metric;
4;C9, C14, C15, C16;4;0.1u;Capacitor_SMD:C_0805_2012Metric;
5;C13;1;10u;Capacitor_SMD:C_0805_2012Metric;
6;C17;1;4.7n;Capacitor_SMD:C_0805_2012Metric;
7;GND_TP1, GND_TP2;2;TestPoint;TestPoint:TestPoint_Keystone_5019_Minature;
8;J1;1;Conn_01x02_Socket;TerminalBlock:TerminalBlock_bornier-2_P5.08mm;
9;J2;1;Conn_02x06_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Horizontal;
10;J3, J4, J5, J6, J7, J8, J9, J10, J11, J17, J21, J23;12;Conn_01x02_Pin;Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical;
11;J12, J22;2;Conn_02x03_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical;
12;J13, J15, J16, J20;4;Conn_01x01_Pin;Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical;
13;J14, J19;2;Conn_01x28_Socket;Connector_PinSocket_2.54mm:PinSocket_1x28_P2.54mm_Vertical;
14;J18, J24;2;Conn_01x02_Socket;Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical;
15;L1, L2;2;47u;Inductor_SMD:L_0805_2012Metric;
16;R1;1;10K;Resistor_SMD:R_0805_2012Metric;
17;R2, R4;2;256K/430K;Resistor_SMD:R_0805_2012Metric;
18;R3, R5, R7;3;82K;Resistor_SMD:R_0805_2012Metric;
19;R6;1;256/430K;Resistor_SMD:R_0805_2012Metric;
20;R8;1;3K3;Resistor_SMD:R_0805_2012Metric;
21;R9;1;330;Resistor_SMD:R_0805_2012Metric;
22;R10;1;60;Resistor_SMD:R_0805_2012Metric;
23;R11;1;30;Resistor_SMD:R_0805_2012Metric;
24;R12, R13;2;10;Resistor_SMD:R_0805_2012Metric;
25;SW1;1;SW_DIP_x06;Button_Switch_SMD:SW_DIP_SPSTx06_Slide_KingTek_DSHP06TS_W7.62mm_P1.27mm;
26;TP1;1;Vout1_NF;TestPoint:TestPoint_Keystone_5019_Minature;
27;TP2;1;Vout2_NF;TestPoint:TestPoint_Keystone_5019_Minature;
28;TP3;1;FC1_A+;TestPoint:TestPoint_Keystone_5019_Minature;
29;TP4;1;FC1_A-;TestPoint:TestPoint_Keystone_5019_Minature;
30;TP5;1;FC1_D+;TestPoint:TestPoint_Keystone_5019_Minature;
31;TP6;1;FC1_D-;TestPoint:TestPoint_Keystone_5019_Minature;
32;TP7;1;Vout_F;TestPoint:TestPoint_Keystone_5019_Minature;
33;TP8;1;FC2_+;TestPoint:TestPoint_Keystone_5019_Minature;
34;TP9;1;FC2_-;TestPoint:TestPoint_Keystone_5019_Minature;
35;TP10;1;FC2_D-;TestPoint:TestPoint_Keystone_5019_Minature;
36;TP11;1;FC2_D+;TestPoint:TestPoint_Keystone_5019_Minature;
37;TP12;1;Vout_Load;TestPoint:TestPoint_Keystone_5019_Minature;
38;U1, U2, U3;3;~;Package_DFN_QFN:DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm;
39;U4;1;TAR5SxxU_SOT353F;Caravel_Board:SOT-353F;
40;U5, U6;2;TXB0104PW;Package_SO:TSSOP-14_4.4x5mm_P0.65mm;
;;;;;
;;;;;
;Total;77;;;
;;;;;
;Total menos no contabilizados;68;;;
